player_id,date,value
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-05-17,4412
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-05-24,5080
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-05-31,4506
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-06-07,4401
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-06-14,4401
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-06-21,4401
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-06-28,4239
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-07-05,4391
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-07-12,4229
00e51134-a2e3-552a-93e5-7f77de5a2b03,2023-10-13,1
00e51134-a2e3-552a-93e5-7f77de5a2b03,2023-12-22,0
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-07-14,203
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-07-21,190
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-07-28,192
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-08-04,171
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-08-11,176
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-08-18,212
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-08-25,167
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-09-01,196
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-09-08,196
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-09-15,176
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-09-22,150
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-09-29,164
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-10-06,160
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-10-13,109
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-10-20,112
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-10-27,98
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-11-03,113
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-11-10,102
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-11-17,81
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-11-24,68
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-12-01,120
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-12-08,95
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-12-15,90
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-12-22,59
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-12-29,123
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2024-01-05,156
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2024-01-12,145
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2024-01-19,86
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2024-01-26,109
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2024-02-02,154
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2024-02-09,153
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2024-02-16,113
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2024-02-23,114
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2024-03-27,114
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2024-03-29,109
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2024-04-05,103
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2024-04-12,100
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2024-04-19,82
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2024-04-26,77
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2024-05-03,41
