player_id,date,value
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-06-28,9
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-07-05,14
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-07-12,14
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-07-14,27
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-07-21,27
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-07-28,26
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-08-04,27
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-08-11,29
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-08-18,31
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-08-25,27
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-09-01,29
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-09-08,31
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-09-15,38
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-09-22,98
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-09-29,95
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-10-06,143
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-10-13,782
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-10-20,317
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-10-27,431
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-11-03,1052
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-11-10,1189
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-11-17,849
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-11-24,958
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-12-01,1802
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-12-08,2649
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-12-15,3751
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-12-22,3840
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-12-29,4249
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-01-05,4881
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-01-12,4915
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-01-19,5128
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-01-26,5213
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-02-02,4904
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-02-09,5020
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-02-16,5032
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-02-23,4973
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-03-27,4073
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-03-29,4054
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-04-05,4102
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-04-12,4121
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-04-19,4340
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-04-26,4360
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-05-03,3950
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-05-10,4035
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-05-17,4044
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-05-24,3941
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-05-31,3479
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-06-07,3399
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-06-14,3391
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-06-21,3383
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-06-28,3621
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-07-05,3886
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-07-12,3613
00e51134-a2e3-552a-93e5-7f77de5a2b03,2023-10-13,1
00e51134-a2e3-552a-93e5-7f77de5a2b03,2023-12-22,0
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-07-14,171
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-07-21,162
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-07-28,173
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-08-04,159
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-08-11,162
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-08-18,186
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-08-25,158
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-09-01,161
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-09-08,160
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-09-15,146
00ef8ba5-d0fd-590f-b16a-9f8013821f39,2023-09-22,135
