sleeper_id,date,value
10213,2023-09-22,695
10213,2023-09-23,680
10213,2023-09-24,681
10213,2023-09-25,681
10213,2023-09-26,686
10213,2023-09-27,707
10213,2023-09-28,732
10213,2023-09-29,768
10213,2023-09-30,773
10213,2023-10-01,764
10213,2023-10-02,764
10213,2023-10-03,770
10213,2023-10-04,776
10213,2023-10-05,751
10213,2023-10-06,726
10213,2023-10-07,727
10213,2023-10-08,722
10213,2023-10-09,742
10213,2023-10-10,722
10213,2023-10-11,724
10213,2023-10-12,739
10213,2023-10-13,724
10213,2023-10-14,715
10213,2023-10-15,725
10213,2023-10-16,735
10213,2023-10-17,761
10213,2023-10-18,796
10213,2023-10-19,796
10213,2023-10-20,762
10213,2023-10-21,747
10213,2023-10-22,748
10213,2023-10-23,758
10213,2023-10-24,753
10213,2023-10-25,799
10213,2023-10-26,829
10213,2023-10-27,854
10213,2023-10-28,894
10213,2023-10-29,925
10213,2023-10-30,925
10213,2023-10-31,926
10213,2023-11-01,916
10213,2023-11-02,922
10213,2023-11-03,917
10213,2023-11-04,902
10213,2023-11-05,903
10213,2023-11-06,912
10213,2023-11-07,893
10213,2023-11-08,908
10213,2023-11-09,903
10213,2023-11-10,869
10213,2023-11-11,880
10213,2023-11-12,880
10213,2023-11-13,880
10213,2023-11-14,896
10213,2023-11-15,912
10213,2023-11-16,892
10213,2023-11-17,837
10213,2023-11-18,857
10213,2023-11-19,832
10213,2023-11-20,843
10213,2023-11-21,843
10213,2023-11-22,868
10213,2023-11-23,878
10213,2023-11-24,883
10213,2023-11-25,893
10213,2023-11-26,888
10213,2023-11-27,888
10213,2023-11-28,898
10213,2023-11-29,914
10213,2023-11-30,913
10213,2023-12-01,938
10213,2023-12-02,938
10213,2023-12-03,953
10213,2023-12-04,958
10213,2023-12-05,953
10213,2023-12-06,963
10213,2023-12-07,979
10213,2023-12-08,984
10213,2023-12-09,950
10213,2023-12-10,945
10213,2023-12-11,931
10213,2023-12-12,950
10213,2023-12-13,935
10213,2023-12-14,931
10213,2023-12-15,951
10213,2023-12-16,961
10213,2023-12-17,961
10213,2023-12-18,971
10213,2023-12-19,990
10213,2023-12-20,1005
10213,2023-12-21,1025
10213,2023-12-22,1046
10213,2023-12-23,1047
10213,2023-12-24,1047
10213,2023-12-25,1048
10213,2023-12-26,1043
10213,2023-12-27,1044
10213,2023-12-28,1054
10213,2023-12-29,1066
10213,2023-12-30,1071
10213,2023-12-31,1076
10213,2024-01-01,1091
10213,2024-01-02,1096
10213,2024-01-03,1106
10213,2024-01-04,1132
10213,2024-01-05,1168
10213,2024-01-06,1183
10213,2024-01-07,1193
10213,2024-01-08,1209
10213,2024-01-09,1253
10213,2024-01-10,1269
10213,2024-01-11,1304
10213,2024-01-12,1331
10213,2024-01-13,1347
10213,2024-01-14,1339
